File,Mode,Chunks,Time (s),Outcome
856399094_1875_070_12.txt,parallel,6,164.45,✅ success
856399094_1875_070_14.txt,parallel,7,157.47,✅ success
856399094_1875_071_09.txt,parallel,6,113.87,✅ success
856399094_1875_071_11.txt,parallel,6,122.35,✅ success
856399094_1875_071_12.txt,parallel,6,116.95,✅ success
856399094_1875_072_13.txt,parallel,5,73.93,✅ success
856399094_1875_072_14.txt,parallel,6,78.6,✅ success
856399094_1875_073_05.txt,parallel,5,39.01,✅ success
856399094_1875_073_14.txt,parallel,6,115.27,✅ success
856399094_1875_073_15.txt,parallel,6,122.93,✅ success
856399094_1875_073_16.txt,parallel,7,54.69,✅ success
856399094_1875_074_12.txt,parallel,7,131.67,✅ success
856399094_1875_075_11.txt,parallel,6,67.14,✅ success
856399094_1875_075_17.txt,parallel,6,174.68,✅ success
856399094_1875_075_18.txt,parallel,6,105.57,✅ success
856399094_1875_076_15.txt,parallel,6,94.79,✅ success
856399094_1875_076_16.txt,parallel,6,73.74,✅ success
856399094_1875_076_20.txt,parallel,6,84.28,✅ success
856399094_1875_077_10.txt,parallel,6,92.17,✅ success
856399094_1875_078_01.txt,parallel,4,33.19,✅ success
856399094_1875_078_15.txt,parallel,6,146.45,✅ success
856399094_1875_078_16.txt,parallel,6,88.85,✅ success
856399094_1875_079_05.txt,parallel,6,54.0,✅ success
856399094_1875_079_11.txt,parallel,7,46.8,✅ success
856399094_1875_080_14.txt,parallel,6,181.5,✅ success
856399094_1875_080_15.txt,parallel,6,551.23,❌ failed chunks [1]
856399094_1875_081_07.txt,parallel,5,96.67,✅ success
856399094_1875_081_08.txt,parallel,6,123.74,✅ success
856399094_1875_082_09.txt,parallel,6,74.29,✅ success
856399094_1875_082_10.txt,parallel,7,83.76,✅ success
856399094_1875_083_01.txt,parallel,5,36.87,✅ success
856399094_1875_083_07.txt,parallel,5,112.01,✅ success
856399094_1875_084_13.txt,parallel,6,150.0,✅ success
856399094_1875_085_05.txt,parallel,5,55.25,✅ success
856399094_1875_085_10.txt,parallel,6,121.25,✅ success
856399094_1875_086_12.txt,parallel,6,177.36,✅ success
856399094_1875_086_13.txt,parallel,6,135.14,✅ success
856399094_1875_086_14.txt,parallel,6,152.99,✅ success
856399094_1875_087_11.txt,parallel,5,96.15,✅ success
856399094_1875_087_12.txt,parallel,6,87.38,✅ success
856399094_1875_088_07.txt,parallel,5,64.04,✅ success
856399094_1875_088_08.txt,parallel,6,138.19,✅ success
856399094_1875_088_16.txt,parallel,6,82.19,✅ success
856399094_1875_089_09.txt,parallel,4,22.98,✅ success
856399094_1875_089_11.txt,parallel,5,72.44,✅ success
856399094_1875_089_12.txt,parallel,6,88.66,✅ success
856399094_1875_089_16.txt,parallel,6,46.93,✅ success
856399094_1875_090_06.txt,parallel,5,51.5,✅ success
856399094_1875_090_10.txt,parallel,6,165.82,✅ success
856399094_1875_090_11.txt,parallel,6,141.78,✅ success
856399094_1875_090_12.txt,parallel,6,79.12,✅ success
856399094_1875_091_08.txt,parallel,5,43.51,✅ success
856399094_1875_091_14.txt,parallel,6,151.4,✅ success
856399094_1875_091_15.txt,parallel,6,135.85,✅ success
856399094_1875_091_16.txt,parallel,6,68.33,✅ success
856399094_1875_091_20.txt,parallel,6,557.37,"❌ failed chunks [4, 6]"
856399094_1875_092_09.txt,parallel,6,69.65,✅ success
856399094_1875_092_11.txt,parallel,5,175.31,✅ success
856399094_1875_092_12.txt,parallel,6,149.25,✅ success
856399094_1875_093_04.txt,parallel,5,68.02,✅ success
856399094_1875_093_11.txt,parallel,5,92.57,✅ success
856399094_1875_093_12.txt,parallel,6,208.77,✅ success
856399094_1875_093_13.txt,parallel,6,145.26,✅ success
856399094_1875_093_14.txt,parallel,6,79.83,✅ success
856399094_1875_093_18.txt,parallel,6,46.32,✅ success
856399094_1875_094_05.txt,parallel,5,50.15,✅ success
856399094_1875_094_10.txt,parallel,6,114.39,✅ success
856399094_1875_094_14.txt,parallel,6,62.81,✅ success
856399094_1875_095_09.txt,parallel,5,54.38,❌ parse failed
856399094_1875_095_11.txt,parallel,5,64.55,✅ success
856399094_1875_095_13.txt,parallel,6,119.98,✅ success
856399094_1875_096_06.txt,parallel,6,61.91,✅ success
856399094_1875_096_10.txt,parallel,6,141.13,✅ success
856399094_1875_096_11.txt,parallel,6,146.66,✅ success
856399094_1875_096_12.txt,parallel,7,69.11,✅ success
856399094_1875_096_16.txt,parallel,6,62.72,✅ success
856399094_1875_097_11.txt,parallel,5,74.84,✅ success
856399094_1875_097_12.txt,parallel,6,198.83,✅ success
856399094_1875_097_14.txt,parallel,6,169.43,✅ success
856399094_1875_097_18.txt,parallel,5,47.54,✅ success
856399094_1875_098_09.txt,parallel,6,67.67,✅ success
856399094_1875_098_14.txt,parallel,6,103.91,✅ success
856399094_1875_099_01.txt,parallel,4,33.91,✅ success
856399094_1875_099_08.txt,parallel,6,228.77,✅ success
856399094_1875_099_09.txt,parallel,6,144.65,✅ success
856399094_1875_099_10.txt,parallel,6,130.45,✅ success
856399094_1875_099_14.txt,parallel,6,83.45,✅ success
856399094_1875_100_05.txt,parallel,6,60.81,✅ success
856399094_1875_100_11.txt,parallel,5,101.36,✅ success
856399094_1875_101_11.txt,parallel,5,120.84,✅ success
856399094_1875_101_12.txt,parallel,6,80.4,✅ success
